item_id:token	real_id:token
1	10093
2	592405224
3	3857
4	640563735
5	153936587
6	6964509115
7	58682
8	131208
9	271357
10	28551
11	540923531
12	284984
13	16232
14	74414
15	919273391
16	297160
17	4440747756
18	28588
19	178279
20	248358
21	424926402
22	547124465
23	18766
24	7389
25	692396909
26	140017
27	579302405
28	1562379537
29	219976
30	520115328
31	6964369749
32	294451
33	569837418
34	41738
35	4594778566
36	4875062784
37	834046950
38	47291
39	10103
40	10100
41	6083
42	5523940432
43	562332391
44	242031
45	416181231
46	6070455513
47	238595
48	65301
49	294705
50	2649549241
51	1449775569
52	36450
53	144333121
54	242269
55	266951
56	1000927087
57	194629
58	283676
59	1039544337
60	4830334529
61	4861414172
62	125171
63	293894
64	3594
65	11602
66	61376
67	185829
68	23609
69	25894
70	172322
71	32872
72	164785
73	2436451365
74	274382
75	284202
76	74520
77	55025
78	5297455380
79	263273
80	1000932566
81	251423
82	85653
83	177678
84	172306
85	53983
86	294952
87	48954
88	573749005
89	6964362008
90	6630553846
91	250944
92	39448
93	34675
94	723476024
95	145736
96	1371754294
97	29915
98	4780498294
99	27240
100	846629637
101	4027624215
102	25840
103	29060
104	3641188801
105	535861478
106	22605
107	6964463758
108	280497
109	22585
110	6964461541
111	14781
112	3297
113	248339
114	274486
115	379641613
116	378772875
117	171892
118	1129209231
119	4058681588
120	286651
121	275397
122	3640486197
123	9031958663
124	62564
125	2452820820
126	286633
127	62560
128	285693
129	192240
130	3671415084
131	267557
132	2217280918
133	3636723050
134	60181
135	40041
136	266529
137	37855
138	27226
139	514471755
140	65954
141	379642230
142	181820
143	5258449130
144	5699269112
145	131830
146	241346
147	549130793
148	9032021271
149	5699821179
150	578200049
151	1660856297
152	279021
153	6695779207
154	537766032
155	2040288910
156	24708
157	110118
158	284578
159	6964604467
160	6964419956
161	4481755384
162	172466
163	3729484034
164	699400229
165	2603278873
166	23360
167	8850
168	578544554
169	6041459750
170	2493652239
171	274174
172	6964440824
173	248751
174	1512713461
175	5928583379
176	73257
177	595746727
178	699396233
179	4562433291
180	803297901
181	26902
182	273521
183	6964605014
184	9031970219
185	623832647
186	84469
187	14729
188	243677
189	271441
190	14735
191	295118
192	26383
193	623826388
194	5715943282
195	15621
196	3250
197	38606
198	287428
199	240722
200	196852
201	14748
202	31771
203	276537
204	4549178556
205	1566911860
206	584964332
207	1013224538
208	180183
209	13489
210	4343450746
211	3319751495
212	11908
213	180496
214	85577
215	28723
216	44560
217	67648
218	299312
219	2291
220	2809
221	932399147
222	13573
223	251007
224	1118095676
225	2055569414
226	110345
227	4474927730
228	40597
229	27111
230	5354
231	3061903356
232	2774
233	64131
234	14332
235	5303612776
236	297227
237	549107109
238	54244
239	31443
240	1095303350
241	286875
242	283162
243	4785926865
244	23715
245	36272
246	259758
247	1151208148
248	21576
249	14335
250	11649
251	110198
252	255241
253	98100
254	301242
255	2771
256	248727
257	1869819280
258	565156819
259	298659
260	3797398846
261	132420
262	5166632262
263	692555265
264	175477
265	93366
266	234062
267	546255406
268	175466
269	283846
270	6964589125
271	17115
272	6964507740
273	1165388476
274	196624
275	167076720
276	7990
277	246911
278	5679757011
279	6163292474
280	69635
281	9032101833
282	2275305671
283	286014
284	1300
285	24881
286	151599
287	6964391218
288	3224344976
289	5303884212
290	3140616663
291	537701546
292	944612077
293	5814202878
294	19978
295	2269777356
296	181952
297	614090151
298	5798
299	616991921
300	21604
301	255230
302	20488
303	3871382696
304	279706
305	6485806040
306	5812
307	65424
308	5666649002
309	5341853273
310	164967473
311	6354
312	1388190941
313	1829737591
314	4917442412
315	6964605066
316	1659144539
317	1765515392
318	4261
319	281934
320	273420
321	1117785596
322	988423602
323	4790248523
324	287754
325	5993696826
326	5808
327	98087
328	6290951140
329	587066727
330	6196535980
331	572421629
332	6964432726
333	614073139
334	599691541
335	248331
336	610483525
337	4748871626
338	1422147710
339	10919
340	61421
341	5775
342	1277957195
343	30807
344	42881
345	14365
346	23441
347	102820
348	425574571
349	114667
350	3221
351	169119
352	3224
353	84542
354	4379536292
355	17785
356	237700
357	20657
358	155872
359	238079
360	1565
361	5847158141
362	172303
363	139820
364	6964392401
365	32064
366	930204095
367	240009
